date,aqi,pm10,pm25,o3
2023-08-16,30,11,30,
2023-08-17,30,11,30,
2023-08-18,30,11,30,
2023-08-19,30,11,30,
2023-08-20,30,11,30,
2023-08-21,30,11,30,
2023-08-22,30,11,30,
2023-08-23,30,11,30,
2023-08-24,30,11,30,
2023-08-25,30,11,30,
2023-08-26,30,11,30,
2023-08-27,30,11,30,
2023-08-28,30,11,30,
2023-08-29,30,11,30,
2023-08-30,30,11,30,
2023-08-31,30,11,30,
2023-09-01,30,11,30,
2023-09-02,30,11,30,
2023-09-03,30,11,30,
2023-09-04,30,11,30,
2023-09-05,30,11,30,
2023-09-06,30,11,30,
2023-09-07,30,11,30,
2023-09-08,30,11,30,
2023-09-09,30,11,30,
2023-09-10,30,11,30,
2023-09-11,30,11,30,
2023-09-12,30,11,30,
2023-09-13,30,11,30,
2023-09-14,30,11,30,
2023-09-15,30,11,30,
2023-09-16,30,11,30,
2023-09-17,30,11,30,
2023-09-18,30,11,30,
2023-09-19,30,11,30,
2023-09-20,30,11,30,
2023-09-21,30,11,30,
2023-09-22,30,11,30,
2023-09-23,30,11,30,
2023-09-24,30,11,30,
2023-09-25,30,11,30,
2023-09-26,30,11,30,
2023-09-27,30,11,30,
2023-09-28,30,11,30,
2023-09-29,30,11,30,
2023-09-30,30,11,30,
2023-10-01,30,11,30,
2023-10-02,30,11,30,
2023-10-03,30,11,30,
2023-10-04,30,11,30,
2023-10-05,30,11,30,
2023-10-06,30,11,30,
